,titolo,autore,descrizione
16,Internet and Technology Law Desk Reference,Aspen Publishers,"Internet and Technology Law Desk Reference is a non-fiction book about information technology law, written by Michael Dennis Scott. The book uses wording from legal cases to define information technology jargon, and gives citations to individual lawsuits. Scott received his B.S. degree from Massachusetts Institute of Technology and graduated with a J.D. from the University of California, Los Angeles. He has taught as a law professor at Southwestern Law School. The book was published by Aspen Law and Business in 1999. Multiple subsequent editions were published under the imprint Aspen Publishers. Internet and Technology Law Desk Reference was recommended by the Cyberlaw Research Resources Guide at the James E. Rogers College of Law, and has been used as a reference in law journals including University of Pennsylvania Journal of International Economic Law, and Berkeley Technology Law Journal. 
 
 "
17,100 Great Welsh Women,Terry Breverton,"100 Great Welsh Women is a collection of short biographies of prominent women from Wales, or of Welsh origin, published in 2001 by Terry Breverton. 
 It covers women from all walks of life, including athletes, actresses, saints, singers and queens. 
 
 "
18,Solacers,eBook,"Solacers is a 2012 memoir < ref name= "" STANFORD "" >  < /ref >  written by Iranian-American < ref >  < /ref >  author . < ref >  < /ref >  The book is a first-person narrative about an abandoned boy growing up on the streets in 1960s Iran, before the Iranian Revolution of 1979. < ref >  < /ref > 
 
 "
19,The Tiger Who Came to Tea,"William Collins, Sons"," 
 
 A little girl named Sophie is having tea with her mother in their kitchen, when she hears the doorbell ring. Soon, Sophie and her mother are joined for tea by a kind tiger who drinks all the tea before eating all the food in the house and then drinking everything, even draining all the water from the taps. After the tiger leaves, Sophie's father comes home from work and suggests that they all go out and have a lovely meal in a cafe. The following day, Sophie and her mother go out to buy some more food, including a big tin of tiger food. Despite the tin of tiger food being requested by Sophie, the tiger never returns (hence the tiger plays a trumpet with the word  "" Goodbye ""  coming out of the end of it). 
 
 "
20,"The Life of Sir William Petty, 1623–1687",John Murray (publishing house),"The Life of Sir William Petty 1623-1687 is a book, written by Lord Edmond Fitzmaurice, and published in 1895.  It is a biography of Sir William Petty, the 17th-century scientist, known for his inventions, his charting of large parts of Ireland, in the Down Survey, and his publications on many different topics, like  "" political arithmetic ""  and political economy. 
 
 "
21,"The United States and Right-wing Dictatorships, 1965-1989",Cambridge University Press,"The United States and Right-wing Dictatorships, 1965-1989 is a 2006 book by David F. Schmitz. In the United Kingdom it was published by Cambridge University Press. < ref name= "" Cambridge University Press - Academic - The United States and Right-Wing Dictatorships, 1965-1989 "" >  < /ref > 
 
 "
22,Meccania,Speculative fiction,"Meccania: The Super-State is a dystopian novel by Owen Gregory, first published in 1918. < ref > Owen Gregory, Meccania: The Super-State, London, Methuen, 1918. < /ref > 
 
 Most of the book describes the fictional country of  "" Meccania, ""  a nation in Central Europe with obvious resemblances to Germany: < ref > Alberto Manguel and Gianni Guadalupi, The Dictionary of Imaginary Places, expanded edition, Harcourt Brace Jovanovich, 1987; pp. 233-7. < /ref >  Meccania is surrounded by  "" Francaria ""  (France),  "" Luniland ""  (Britain), "" Lugrabia ""  (Austria) and Idiotica (Russia). Meccania is a place where dissenters are sent to mental hospitals and concentration camps. The state maintains a eugenic breeding program, and commands its common citizens when to have children. All letters are censored, and all telephone conversations are monitored. All citizens wear the uniforms of their occupational classes. Among the very complex regulations of the Super-State are those regarding control of worker fatigue: if a given worker's calculated fatigue level is below average, he must work more hours until he is as tired as his compatriots. 
 
 The novel's frame story is set in the future (from the novel's perspective) year 1970. A young Chinese traveler named Ming Yuen-hwuy enters Meccania for a five-month stay. Ming's diary and notes describe his dreary and dehumanizing sojourn in a country where the militaristic government dominates social life. Meccania, a place of  "" perpetual propaganda..., ""  presents the visitor with  "" an odd mixture of arrogance, xenophobia, over-punctiliousness, over-organization, chauvinism, and rigidity.... "" < ref name=autogenerated1 > Everett F. Bleiler with Richard Bleiler, Science-Fiction: The Early Years, Kent, OH, Kent State University Press, 1990; p. 301. < /ref >  Ming is constantly observed by official guides. Ming provokes his state minders when he tries to find a newspaper; he gets into more trouble when the personal record he is required to keep does not match the records of his guides with perfect exactness. 
 
 Ming also learns the history of Meccania  & mdash; how  "" Bludiron ""  (Otto von Bismarck) organized the nation to resist the socialism of  "" Spotts ""  (a pun on the surname of Karl Marx). 
 
 "
23,Flyy Girl,Young adult literature,"Flyy Girl is young adult/new adult literature and an urban fiction book written by Omar Tyree. The book was originally published by Mars Productions in 1993 and republished by Simon  &  Schuster for adults in 1996. < ref >  < /ref >  The novel is regarded to be the genesis of the modern urban-fiction/street-lit movement that would later gain momentum in 1999 with the publication of Sister Souljah's The Coldest Winter Ever. 
 
 "
24,Cryoburn,Vorkosigan Saga,"Cryoburn is a science fiction novel by American writer Lois McMaster Bujold, first published in October 2010. < ref name= "" cryoamazon "" >  < /ref >  Part of the Vorkosigan Saga, it was nominated for the Hugo Award for Best Novel in 2011, < ref name= "" Hugo11 "" > Renovation Hugo nominee announcement  < /ref >  as Bujold's ninth Best Novel nomination. < ref name= "" Bujold Hugo post "" >  < /ref >  Also in 2011, it was one of the top five finishers in the poll for the Locus Award for Best Science Fiction Novel. < ref name= "" Locus11 "" > Locus Online News – 2011 Locus Award Finalists < /ref > 
 
 "
25,Chainfire,The Sword of Truth,"Chainfire is the ninth book in Terry Goodkind's epic fantasy series The Sword of Truth, and the first in a trilogy. It was nominated for the Prometheus Award. 
 
 "
26,The Total Woman,Marabel Morgan,"The Total Woman is a self-help book for married women by Marabel Morgan published in 1973. The book sold over 500,000 copies within the first year, making it the most successful non-fiction book in the USA in 1974. < ref > Publishers Weekly < /ref >  Overall, it sold more than ten million copies. < ref >  < /ref >  Grounded in evangelical Christianity, it taught that  "" A Total Woman caters to her man's special quirks, whether it be in salads, sex or sports, "" < ref >  < /ref >  and is perhaps best remembered for instructing wives to greet their man at the front door wearing sexy outfits; suggestions included  "" a cowgirl or a showgirl. ""   "" It's only when a woman surrenders her life to her husband, reveres and worships him and is willing to serve him, that she becomes really beautiful to him, ""  Morgan wrote. 
 
 "
27,Trent's Last Case,detective fiction,"Trent's Last Case is a detective novel written by E. C. Bentley and first published in 1913. Its central character, the artist and amateur detective Philip Trent, reappeared subsequently in the novel Trent's Own Case (1936), and the short-story collection Trent Intervenes (1938). < ref >  < /ref > 
 
 Trent's Last Case is actually the first novel Philip Trent appears in, and is a whodunit with a place in detective fiction history because it is the first major send-up of that genre. Not only does Trent fall in love with one of the primary suspects – usually considered off-limits – he also, after painstakingly collecting all the evidence, draws all the wrong conclusions. 
 
 The novel was published as The Woman in Black in the United States, later in 1913. 
 
 "
28,Anarchism (Miller book),J. M. Dent,"Anarchism is a book-length survey of anarchism written by David Miller and published by J. M. Dent in 1984. 
 < !-- 
 "
29,It's Perfectly Normal,Human sexuality,"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health is a children's book written by Robie Harris and illustrated by Michael Emberley. The purpose of the book is to inform preadolescent children of puberty by exploring different definitions of sex. < ref name= "" :4 "" >  < /ref >  It was first published in 1994 by Candlewick Press, and has since been updated with new information. < ref name= "" :2 "" >  < /ref >  Harris was prompted to write It’s Perfectly Normal by her editor so young individuals would understand aspects of sexual health. < ref name= "" :0 "" >  < /ref >  The novel has won multiple accolades and appraisal for its accurate information and its normalization of body changes and human sexuality. < ref >  < /ref >  However, it has also been a source of controversy because of its graphic images that are considered inappropriate for the targeted age range. < ref name= "" :8 "" >  < /ref >  Many of Harris’s books, including It’s Perfectly Normal, has appeared on the American Library Association's Most Challenged Books frequently since 2005. < ref name= "" :9 "" >  < /ref >  It’s Perfectly Normal has additional anniversary editions that were published in 2004, 2009, and 2014. < ref name= "" :3 "" >  < /ref >  The book has also been translated in 27 languages. < ref >  < /ref > 
 
 "
30,"Great Prince's, Tsar's and Emperor's Hunting in Russia",Nikolai Kutepov,"Great Prince's, Tsar's and Emperor's Hunting in Russia () is a book by Russian historian Nikolai Kutepov published from 1896 to 1911. 
 
 "
31,Herbs and Apples,English language," 
 The story is told in the first person by Sue, who had met the young Derrick once, and then meets her a second time on the train taking them to the same college. At college, the two girls form a clique dedicated to literature and philosophy with four other freshmen, Alice, Edith, Madeleine, and Frances.  Derrick is easily the most ambitious and talented of them, writing poetry. She argues forcefully that marriage is an abdication of artistic talent, and vows never to get married. 
 
 During the summer between their freshman and sophomore years, World War I breaks out, and the United States enters the war a few months before they graduate.  Derrick, Sue, and Alice move to Manhattan, where Derrick finds a secretarial job working for a literary magazine. She continues to write poetry, and most of one play. On home visits, she argues with her childhood friend, Jack Devlin, whose support of pacifism angers her.  To her shock and fear, he enlists, and she agrees to consider marriage on his return. Jack is killed in action, and Derrick takes it very hard. 
 
 Shortly afterwards, Derrick's mother becomes deathly ill, and Derrick moves back to Tecumseh, destroying her drafts. As the oldest child of six, she finds herself replacing her mother in her siblings' lives. She accepts a teaching job at an elementary school. Sue later visits, and barely recognizes Derrick, who is serene and happy with her lot. 
 
 "
32,Animalia (book),Harcourt Brace Jovanovich,"< !---- > 
 Animalia is an illustrated children's book by Graeme Base. It was originally published in 1986, followed by a tenth anniversary edition in 1996, and a 25th anniversary edition in 2012. Over four million copies have been sold worldwide. < ref >  < /ref >    A special numbered and signed anniversary edition was also published in 1996, with an embossed gold jacket. < ref >  < /ref > 
 
 "
33,The Last Sontaran,Yasmin Paige," 
 "
34,The Intimate Adventures of a London Call Girl,Erotica,"The Intimate Adventures of a London Call Girl are memoirs of a former London call girl written by Dr. Brooke Magnanti, under the pseudonym Belle de Jour. 
 
 From the summer of 2003 to the autumn of 2004 Belle charted her day-to-day adventures on and off the field in a web diary. < ref >  < /ref >  The blogs were then published into the book, in which Belle elaborates on the diary entries and tells of how she became a Call Girl. 
 
  
 
 "
35,The Wanderings of Oisin,Epic poetry,"The Wanderings of Oisin ( ) is an epic poem published by William Butler Yeats in 1889 in the book The Wanderings of Oisin and Other Poems. < ref > Yeats 1889 < /ref >  It was his first publication outside magazines, and immediately won him a reputation as a significant poet. < ref > Matthew Russell reviewed the poem in the Irish Monthly (February 1889), stating  "" Ireland can boast of another true poet in William Yeats "" ; quoted in a later Irish Monthly (March 1953) article by Roger McHugh. < /ref >   This narrative poem takes the form of a dialogue between the aged Irish hero Oisín and St. Patrick, the man traditionally responsible for converting Ireland to Christianity.  Most of the poem is spoken by Oisin, relating his 300-year sojourn in the isles of Faerie. Oisin was not a popular poem with  modernist critics like TS Eliot. < ref > "" The poetry of the young Yeats hardly existed for me until after my enthusiasm had been won by the poetry of the older Yeats.. ""  TS Eliot in The First Annual Yeats Lecture, Dublin 1940, collected in On Poetry  &  Poets, Faber 1957, quoted by John Kelly in his essay Eliot  &  Yeats, Yeats Annual no 20. < /ref >  However, Harold Bloom defended this poem in his book-length study of Yeats, and concludes that it deserves reconsideration. < ref > Bloom, H; Yeats, Oxford University Press, 1970, < /ref > 
 
 "
36,Norse Gods and Giants,mythology,"Norse Gods and Giants is a children's book written and illustrated by Ingri and Edgar Parin d'Aulaire and published by Doubleday in 1967. < ref name=LCC1/ >  It was reissued by Doubleday in 1986 as d'Aulaires' Norse Gods and Giants < ref name=LCC2/ >  and by New York Review Books in 2005 as d'Aulaires' Book of Norse Myths. < ref name=LCC3/ > < ref name=hynes/ > 
 
 The 154-page book is organized as a collection of 30 Norse myths, with color illustrations throughout, from  "" The first gods and giants ""  and  "" The creation of the world ""  to  "" Ragnarokk, the destiny of the gods ""  and  "" A new world "" . < ref name=LCC3/ >  The 2005 Library of Congress catalog summary called it a companion to Ingri and Edgar Parin d'Aulaire's Book of Greek myths, published by Doubleday in 1962, a 192-page collection of 46 Greek myths. < ref name=LCC3/ > < ref >  "" Ingri and Edgar Parin d'Aulaire's Book of Greek myths ""  (first edition). WorldCat. Retrieved 2013-07-12. < /ref >  The Greek and Norse collections are the couple's second and third most widely held works in WorldCat libraries, after their Caldecott Medal-winning picture book Abraham Lincoln (Doubleday, 1957). < ref >  "" D'Aulaire, Ingri 1904-1980 "" . WorldCat. Retrieved 2013-07-12. < /ref > 
 
 "
37,The Tiger's Prey,Publishing," 
 
 Tom Courtney, one of four sons of master mariner Sir Hal Courtney, once again sets sail on a treacherous journey that will take him across the vast reaches of the ocean and pit him against dangerous enemies in exotic destinations. But just as the winds propel his sails, passion drives his heart. Turning his ship towards the unknown, Tom Courtney will ultimately find his destiny—and lay the future for the Courtney family. 
 
 "
38,State of Change,Virgin Missing Adventures," 
 10 BC. The Doctor and Peri land in ancient Rome, specifically in the tomb of Cleopatra. But something is very wrong: The tomb walls depict steam-driven galleys and other disturbing anachronisms. The time travellers discover that Rome has advanced far beyond its natural means, and they must recruit the aid of Ptolemy Caesar to prevent his half-siblings, Alexander Helios and Cleopatra Selene II, from waging a potentially world-ending war with each other. But the anomalies don't just end with Rome, as The Doctor and Peri experience changes of their own... 
 
 "
39,Shadow Country,Southern Gothic,"Shadow Country is a novel by Peter Matthiessen, published by Random House in 2008. Subtitled A New Rendering of the Watson Legend, it is a semi-fictional account of the life of Scottish-American Edgar  "" Bloody ""  Watson (1855–1910), a real Florida sugar cane planter and alleged outlaw who was killed by a posse of his neighbors in the remote Ten Thousand Islands region of southwest Florida. 
 
 Matthiessen revised, condensed, and combined his three previously published novels about Edgar Watson to create this single-volume novel, which is divided into three sections that comform to the three original books. Shadow Country won the National Book Award for Fiction in 2008 < ref name=nba2008 > 
  "" National Book Awards – 2008 "" . National Book Foundation. Retrieved 2012-03-09. (With interview, acceptance speech by Matthiessen, and essay by Harold Augenbraum from the Awards 60-year anniversary blog.) < /ref > 
 and the William Dean Howells Medal in 2010. 
 
 "
40,YU 100: najbolji albumi jugoslovenske rok i pop muzike,SFRY,"YU 100: najbolji albumi jugoslovenske rok i pop muzike (trans. YU 100: the Greatest Yugoslav Rock and Pop Music Albums) is a book by Duško Antonić and Danilo Štrbac, published in 1998. < ref >  "" YU 100 Najbolji albumi jugoslovenske rock i pop muzike "" , secanja.com < /ref >  It features a list of top 100 former Yugoslav popular music albums, formed according to the poll of 70 Serbian music critics, journalists, artists and others. < ref >  "" YU 100 Najbolji albumi jugoslovenske rock i pop muzike "" , secanja.com < /ref > < ref >  "" YU 100: NAJBOLJI ALBUMI JUGOSLOVENSKE ROK I POP MUZIKE: Anketom do liste "" , Naša Borba, March 25, 1998 < /ref > 
 
 "
41,The Elements of Influence,decision support system,"The Elements of Influence: The New Essential System for Managing Competition, Reputation, Brand, And Buzz, or simply The Elements of Influence (Dutton, 2006), is a book written by Alan D. Kelly that explains the first complete ontology of influence, known as The Standard Influence Decision System, sometimes referred to as “The Playmaker’s Standard.”  In its review of the book, The Wall Street Journal lauded Kelly for “making us look at the time-worn faces of the business world in a fresh and freshly ordered way.” < ref name= "" test "" > The Plan Behind That Power Play, The Wall Street Journal. Online. Retrieved 2012-01-15 < /ref >   The book's publication led to the formation of a consultancy, called Playmaker Systems, LLC, and a series of self-service and for-pay web-tools and apps that further explicate the decision support system. 
 
 "
42,The Forgotten (Applegate novel),jaguar,"The Forgotten is the 11th book in the Animorphs series, written by K.A. Applegate. It is narrated by Jake. 
 
 "
43,Northanger Abbey,Emma (novel),"Northanger Abbey () is a coming-of-age novel and a satire of Gothic novels < ref >  < /ref >  written by Jane Austen. Austen was also influenced by Charlotte Lennox's The Female Quixote (1752). Northanger Abbey was completed in 1803, the first of Austen's novels completed in full, but was published posthumously in 1817 with Persuasion. < ref name=  "" JASNA "" >  < /ref >  The story concerns Catherine Morland, the naïve young protagonist, and her journey to a better understanding of herself and of the world around her. < ref >  < /ref > < ref >  < /ref >  How Catherine views the world has been distorted by her fondness for Gothic novels and an active imagination. 
 
 "
